c(G:G)(main_ac_nanosheet_ns2_2D_NMOS_ac_des) X,c(G:G)(main_ac_nanosheet_ns2_2D_NMOS_ac_des) Y,c(D:G)(main_ac_nanosheet_ns2_2D_NMOS_ac_des) X,c(D:G)(main_ac_nanosheet_ns2_2D_NMOS_ac_des) Y,c(S:G)(main_ac_nanosheet_ns2_2D_NMOS_ac_des) X,c(S:G)(main_ac_nanosheet_ns2_2D_NMOS_ac_des) Y
-0.5,8.3909163e-16,-0.5,-4.1954581e-16,-0.5,-4.1954581e-16
-0.45,8.4083177e-16,-0.45,-4.2041588e-16,-0.45,-4.2041588e-16
-0.4,8.4266673e-16,-0.4,-4.2133336e-16,-0.4,-4.2133336e-16
-0.35,8.4464612e-16,-0.35,-4.2232306e-16,-0.35,-4.2232306e-16
-0.3,8.4684309e-16,-0.3,-4.2342155e-16,-0.3,-4.2342155e-16
-0.25,8.4935723e-16,-0.25,-4.2467861e-16,-0.25,-4.2467861e-16
-0.2,8.523165e-16,-0.2,-4.2615825e-16,-0.2,-4.2615825e-16
-0.15,8.5587793e-16,-0.15,-4.2793896e-16,-0.15,-4.2793896e-16
-0.1,8.6022913e-16,-0.1,-4.3011457e-16,-0.1,-4.3011457e-16
-0.05,8.6559866e-16,-0.05,-4.3279933e-16,-0.05,-4.3279933e-16
-5.5511151e-17,8.722915e-16,-5.5511151e-17,-4.3614575e-16,-5.5511151e-17,-4.3614575e-16
0.05,8.8077994e-16,0.05,-4.4038997e-16,0.05,-4.4038997e-16
0.1,8.9190928e-16,0.1,-4.4595463e-16,0.1,-4.4595464e-16
0.15,9.0738533e-16,0.15,-4.5369264e-16,0.15,-4.5369269e-16
0.2,9.3109989e-16,0.2,-4.6554978e-16,0.2,-4.655501e-16
0.25,9.7299319e-16,0.25,-4.8649576e-16,0.25,-4.8649743e-16
0.3,1.0582724e-15,0.3,-5.2913205e-16,0.3,-5.2914039e-16
0.35,1.2293931e-15,0.35,-6.1467858e-16,0.35,-6.1471455e-16
0.4,1.4826026e-15,0.4,-7.4124496e-16,0.4,-7.4135762e-16
0.45,1.7335346e-15,0.45,-8.6664709e-16,0.45,-8.6688747e-16
0.5,1.9326109e-15,0.5,-9.6611084e-16,0.5,-9.6650002e-16
0.55,2.0790155e-15,0.55,-1.0392403e-15,0.55,-1.0397753e-15
0.6,2.1839994e-15,0.6,-1.0916659e-15,0.6,-1.0923335e-15
0.65,2.259258e-15,0.65,-1.1292364e-15,0.65,-1.1300215e-15
0.7,2.3140893e-15,0.7,-1.1566002e-15,0.7,-1.1574891e-15
0.75,2.3550305e-15,0.75,-1.1770248e-15,0.75,-1.1780058e-15
0.8,2.3864347e-15,0.8,-1.1926855e-15,0.8,-1.1937492e-15
0.85,2.4111604e-15,0.85,-1.2050109e-15,0.85,-1.2061495e-15
0.9,2.4310992e-15,0.9,-1.2149459e-15,0.9,-1.2161533e-15
0.95,2.4475254e-15,0.95,-1.2231273e-15,0.95,-1.224398e-15
1,2.4613167e-15,1,-1.2299935e-15,1,-1.2313232e-15
1.05,2.4730921e-15,1.05,-1.2358536e-15,1.05,-1.2372385e-15
1.1,2.4832984e-15,1.1,-1.2409307e-15,1.1,-1.2423677e-15
1.15,2.4922658e-15,1.15,-1.2453899e-15,1.15,-1.2468759e-15
1.2,2.5002436e-15,1.2,-1.2493554e-15,1.2,-1.2508882e-15
1.25,2.507397e-15,1.25,-1.2529099e-15,1.25,-1.2544871e-15
1.3,2.5137355e-15,1.3,-1.2560579e-15,1.3,-1.2576776e-15
1.35,2.5194133e-15,1.35,-1.2588765e-15,1.35,-1.2605368e-15
1.4,2.5245935e-15,1.4,-1.2614472e-15,1.4,-1.2631464e-15
1.45,2.5293576e-15,1.45,-1.2638105e-15,1.45,-1.2655472e-15
1.5,2.5337611e-15,1.5,-1.2659941e-15,1.5,-1.267767e-15

